"","X.1","X","gpp","ca","gammastar","kmm","ns_star","chi","xi","mj","mc","ci","iwue","gs","vcmax","vcmax25","jmax","jmax25","rd","gppobs","gppobs_FLUX_X","site","Precipitation","Tg","Tmean","BPE","gpp_gosif","gpp_PML_15"
"463",463,463,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"464",464,464,2.09391583236255,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,0.565390397919527,32.0403629936972,0.76309102043383,0.453130412812891,20.9618027238118,10.0706971393219,0.0108196044331388,0.384740309040871,1.34405286705721,1.12410111420291,2.75075736731234,0.00633588985786274,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"465",465,465,2.22589073225822,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,0.659852807499042,48.4858806322102,0.792310266667262,0.495294157994902,24.4639888269149,7.88183082488247,0.0146956374866834,0.374172888298131,1.30713661000557,1.16538843847816,2.85179045943527,0.0061618659452797,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"466",466,466,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"467",467,467,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"468",468,468,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"469",469,469,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"470",470,470,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"471",471,471,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"472",472,472,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"473",473,473,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"474",474,474,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"475",475,475,2.21254824313333,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,0.649092392519815,46.1656877916014,0.789350773402209,0.490822229567629,24.0650473223352,8.13116926524477,0.014159615001931,0.375318701967751,1.31113939866997,1.16129647940375,2.84177713729861,0.00618073516443287,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"476",476,476,2.19460814298668,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,0.635098165416726,43.3529138925307,0.785373312239371,0.484886427613248,23.5462124979615,8.45544103047834,0.0135061764486607,0.376832749296827,1.3164285758258,1.15576608511286,2.82824385933315,0.00620566844251992,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"477",477,477,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"478",478,478,2.06394148364244,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,0.547143538226293,29.6542940799872,0.756472966985116,0.44416068587421,20.2853018942503,10.4935101577978,0.0102350104588715,0.386891283739604,1.35156708805996,1.11446258087459,2.72717117366127,0.00637131203343929,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"479",479,479,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"480",480,480,NA,37.0749181467269,1.96582796204978,20.9598476987255,1.42273097408347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.380455317364,1.20200352447383,16,371.17,11.0808621077526,7.05914757395896,0.286616026296293,1.27857784888908,1.39152000419024
"481",481,481,2.26717637151188,36.1046431070512,1.82394324546951,19.1655931588823,1.45785571596348,0.571627452354239,31.7447586975482,0.774694720147893,0.472677688368225,20.6384051574427,9.66639871850531,0.0122048458835034,0.399348340777855,1.50135576046838,1.20493040194948,3.11976359862999,0.00654917457968039,94.9481565027387,0.915301800839445,17,384.15,10.2241821364803,6.06417600691934,0.294216114579543,0.914264467577827,0.9635112173279
"482",482,482,2.30158359203103,36.1046431070512,1.82394324546951,19.1655931588823,1.45785571596348,0.593874069540178,34.9131088365944,0.781907562471709,0.483108067450526,21.4416113312803,9.16439485985686,0.0130687682813191,0.396656105517828,1.49123426376125,1.21568258897797,3.14760278472975,0.00650502285316226,94.9481565027387,0.915301800839445,17,384.15,10.2241821364803,6.06417600691934,0.294216114579543,0.914264467577827,0.9635112173279
"483",483,483,NA,36.1046431070512,1.82394324546951,19.1655931588823,1.45785571596348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9481565027387,0.915301800839445,17,384.15,10.2241821364803,6.06417600691934,0.294216114579543,0.914264467577827,0.9635112173279
"484",484,484,NA,36.1046431070512,1.82394324546951,19.1655931588823,1.45785571596348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9481565027387,0.915301800839445,17,384.15,10.2241821364803,6.06417600691934,0.294216114579543,0.914264467577827,0.9635112173279
